Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Grade,Final_Result
498,0.8,62.4,89.2,92.0,15.3,B,Pass
499,9.7,56.6,98.5,43.8,20.5,C,Pass
500,9.9,90.4,52.6,81.6,26.8,B,Pass
501,7.0,66.3,86.2,50.1,34.0,B,Pass
502,5.4,63.5,81.2,86.2,30.5,B,Pass
503,3.1,31.8,65.9,99.8,21.5,F,Fail
504,8.1,53.9,96.5,32.1,10.3,C,Pass
505,6.8,56.6,36.0,92.8,29.8,F,Fail
506,1.6,57.9,28.7,73.6,21.4,F,Fail
507,9.1,70.6,88.3,98.1,39.4,A,Pass
508,8.2,67.4,55.1,62.6,11.0,B,Pass
509,9.5,72.6,87.8,89.3,33.4,B,Pass
510,7.3,83.5,91.4,34.4,47.7,B,Pass
511,6.1,86.9,25.0,53.5,17.0,B,Pass
512,4.2,80.3,90.7,34.7,28.9,B,Pass
513,9.3,96.9,55.9,98.3,13.7,A,Pass
514,8.7,31.3,60.8,87.2,35.0,B,Pass
515,0.5,43.7,70.1,89.7,32.0,F,Fail
516,0.3,30.5,94.1,95.7,26.3,F,Fail
517,3.8,75.3,21.5,36.0,30.9,F,Fail
518,8.1,92.9,58.1,57.0,45.9,A,Pass
519,9.9,47.0,75.0,35.0,17.9,B,Pass
520,1.5,94.9,77.8,44.8,10.9,B,Pass
521,5.9,34.2,75.4,46.1,44.5,B,Pass
522,3.8,95.4,30.8,62.8,33.1,B,Pass
523,9.7,54.6,44.0,48.8,45.6,B,Pass
524,8.4,37.1,48.7,37.1,33.9,F,Fail
525,8.4,64.0,84.4,41.7,42.4,A,Pass
526,4.7,48.0,42.3,40.3,27.2,C,Pass
527,4.1,49.9,36.9,98.1,40.0,C,Pass
528,2.7,51.5,96.6,83.2,46.5,B,Pass
529,0.6,86.2,20.7,97.7,32.9,C,Pass
530,8.6,67.7,99.8,60.8,17.2,A,Pass
531,8.1,51.8,74.1,49.5,20.8,B,Pass
532,10.0,72.7,86.3,85.9,17.9,A,Pass
533,10.0,80.1,43.6,52.8,19.9,B,Pass
534,5.6,49.1,21.1,51.0,22.3,F,Fail
535,7.7,58.9,79.0,46.3,32.2,B,Pass
536,9.4,38.5,86.7,39.1,33.5,B,Pass
537,8.5,42.7,79.2,48.0,27.1,C,Pass
538,2.5,77.7,31.4,54.9,34.6,C,Pass
539,4.5,42.7,80.3,77.2,13.3,F,Fail
540,1.3,66.8,81.5,34.4,13.5,C,Pass
541,9.5,79.6,72.7,44.7,16.9,C,Pass
542,6.1,37.5,81.3,86.6,30.7,B,Pass
543,2.3,69.7,87.7,40.3,18.6,C,Pass
544,6.7,48.0,69.1,54.0,21.3,F,Fail
545,6.2,97.4,27.1,90.5,26.0,B,Pass
546,3.6,63.8,59.0,40.8,42.5,C,Pass
547,1.1,86.4,26.2,35.8,10.6,F,Fail
548,6.7,68.5,52.6,63.9,36.0,B,Pass
549,5.2,33.0,52.6,51.2,36.8,C,Pass
550,7.7,74.3,25.3,69.4,41.9,C,Pass
551,5.2,96.6,47.9,86.3,47.3,B,Pass
552,8.5,72.1,28.9,39.6,10.8,F,Fail
553,5.5,87.3,84.7,70.6,16.2,B,Pass
554,5.6,91.9,95.8,65.4,45.4,A,Pass
555,8.8,46.0,25.8,40.1,28.3,F,Fail
556,4.0,44.8,96.4,73.7,32.6,B,Pass
557,1.3,72.8,61.8,49.2,36.5,F,Fail
558,0.3,58.8,44.0,64.1,37.2,F,Fail
559,7.6,88.8,26.1,35.8,47.3,C,Pass
560,6.2,93.0,60.0,62.2,49.9,B,Pass
561,7.0,54.7,83.6,51.5,38.8,C,Pass
562,2.1,46.6,76.6,87.6,21.5,C,Pass
563,1.4,84.6,24.0,34.0,45.2,F,Fail
564,0.1,49.2,25.8,59.3,12.0,F,Fail
565,3.5,87.6,52.2,62.1,19.2,B,Pass
566,5.9,59.7,43.6,80.8,45.9,B,Pass
567,3.9,76.7,38.6,70.2,20.2,C,Pass
568,4.4,36.7,42.5,76.7,18.8,F,Fail
569,9.0,73.7,84.3,84.4,15.5,B,Pass
570,3.5,61.6,94.3,90.4,44.4,A,Pass
571,5.1,71.1,52.4,52.0,30.0,C,Pass
572,7.8,41.8,92.5,67.7,37.0,B,Pass
573,4.0,81.6,45.7,88.8,19.6,C,Pass
574,6.2,90.4,58.1,99.3,40.3,B,Pass
575,8.6,45.2,38.1,92.3,40.4,C,Pass
576,9.5,36.7,71.2,56.0,22.5,B,Pass
577,1.5,31.7,98.3,43.7,26.4,C,Pass
578,9.3,74.9,68.3,64.3,18.4,C,Pass
579,4.9,72.5,48.6,81.9,49.1,B,Pass
580,2.6,68.3,71.8,64.5,35.8,B,Pass
581,4.6,46.2,29.8,63.8,47.4,C,Pass
582,9.8,57.4,91.1,88.7,22.1,A,Pass
583,4.9,71.6,60.2,55.3,41.3,B,Pass
584,3.3,64.8,55.9,90.2,40.6,B,Pass
585,6.3,99.1,66.9,58.5,37.7,C,Pass
586,2.4,39.6,70.0,53.0,48.6,B,Pass
587,0.8,78.7,25.7,61.8,25.7,F,Fail
588,1.3,58.3,74.6,83.4,15.2,F,Fail
589,1.3,60.0,39.4,38.8,36.9,F,Fail
590,1.5,80.2,77.1,43.7,39.2,B,Pass
591,1.4,78.5,85.8,96.6,33.0,B,Pass
592,6.4,99.4,84.3,42.3,18.3,B,Pass
593,1.8,39.0,64.2,69.7,30.2,C,Pass
594,3.5,37.3,61.6,70.6,22.5,F,Fail
595,9.0,80.7,31.4,64.3,27.1,B,Pass
596,4.7,70.5,82.0,75.1,35.8,B,Pass
597,6.7,49.2,41.7,46.1,39.8,C,Pass
598,1.7,35.6,59.7,68.7,19.3,C,Pass
599,1.9,36.0,42.7,56.1,26.2,F,Fail
600,0.4,92.6,30.7,76.3,20.8,B,Pass
601,1.7,43.4,70.4,39.9,17.9,F,Fail
602,2.8,52.6,24.3,70.0,41.3,F,Fail
603,1.8,45.9,79.9,43.0,46.4,B,Pass
604,0.9,54.8,45.4,49.5,24.8,F,Fail
605,1.2,34.9,20.0,45.3,40.1,F,Fail
606,4.6,66.3,60.9,42.8,45.9,B,Pass
607,,34.7,23.7,87.8,43.8,F,Fail
608,3.6,86.0,42.1,50.0,17.3,F,Fail
609,5.0,46.4,76.6,94.9,48.3,A,Pass
610,6.9,67.8,25.0,97.9,25.1,B,Pass
611,0.4,91.6,87.1,70.0,23.6,B,Pass
612,8.0,75.6,20.3,40.0,12.5,F,Fail
613,6.3,67.3,39.7,56.2,29.4,C,Pass
614,0.8,52.7,79.3,85.8,14.4,F,Fail
615,8.7,53.3,45.3,55.7,19.9,F,Fail
616,9.2,76.9,28.2,36.1,22.7,C,Pass
617,0.6,99.6,48.8,69.0,42.4,C,Pass
618,2.8,76.3,41.6,89.2,45.0,B,Pass
619,8.1,69.0,87.4,85.7,22.1,B,Pass
620,7.5,81.1,45.1,42.3,44.3,A,Pass
621,1.8,62.6,83.1,77.1,44.3,C,Pass
622,2.1,34.2,91.3,45.4,40.6,B,Pass
623,3.7,69.4,54.7,45.3,15.9,C,Pass
624,4.8,97.0,92.8,91.2,37.6,B,Pass
625,6.2,42.3,50.2,47.5,47.8,B,Pass
626,3.7,78.3,97.1,48.4,37.3,C,Pass
627,4.6,44.1,27.1,30.0,23.3,C,Pass
628,7.5,67.5,75.0,90.9,30.0,B,Pass
629,0.4,36.8,59.5,85.5,35.8,F,Fail
630,2.5,61.5,51.0,73.9,30.4,F,Fail
631,7.1,,70.6,82.5,14.8,B,Pass
632,9.0,54.3,76.3,40.6,22.5,C,Pass
633,5.1,76.5,20.3,62.1,42.1,F,Fail
634,5.3,85.7,33.4,54.6,44.5,C,Pass
635,1.1,94.9,77.0,36.6,15.5,F,Fail
636,4.5,46.4,73.3,64.0,48.1,A,Pass
637,5.3,58.0,97.3,94.5,23.2,B,Pass
638,2.4,40.7,80.9,32.8,36.5,B,Pass
639,2.7,99.5,96.1,50.4,40.1,B,Pass
640,3.8,94.9,76.2,44.5,42.5,B,Pass
641,0.2,67.8,43.8,46.7,47.8,C,Pass
642,3.2,88.9,28.4,93.6,22.5,C,Pass
643,2.1,66.5,82.5,62.8,44.3,B,Pass
644,3.3,73.7,71.5,62.6,15.3,B,Pass
645,1.2,36.2,23.9,83.2,38.2,C,Pass
646,8.9,82.9,48.8,40.8,39.7,B,Pass
647,5.9,38.9,96.5,64.1,37.1,B,Pass
648,6.8,87.8,60.0,60.1,20.1,C,Pass
649,7.9,84.7,54.6,71.8,44.9,B,Pass
650,5.0,79.6,56.6,100.0,16.8,B,Pass
651,0.9,32.5,36.7,83.9,12.1,F,Fail
652,5.4,51.2,49.5,57.9,38.7,F,Fail
653,5.9,48.4,49.6,87.9,29.0,C,Pass
654,7.5,55.2,24.2,41.9,44.0,C,Pass
655,4.3,36.1,81.4,32.1,25.3,C,Pass
656,1.3,95.6,53.3,44.3,16.7,B,Pass
657,2.8,68.8,85.8,53.8,43.5,B,Pass
658,3.6,51.4,88.0,65.7,32.0,B,Pass
659,6.5,57.8,37.0,73.1,17.6,F,Fail
660,5.7,61.3,72.6,93.7,38.8,B,Pass
661,,72.0,57.8,65.7,30.4,B,Pass
662,9.9,66.1,90.4,65.1,34.2,A,Pass
663,6.1,94.4,37.3,33.5,28.4,F,Fail
664,2.4,64.8,74.2,32.4,43.1,C,Pass
665,1.0,99.5,68.6,68.6,43.2,B,Pass
666,1.5,89.6,43.6,60.7,38.4,B,Pass
667,2.5,44.6,30.9,88.7,14.2,F,Fail
668,1.6,95.1,72.1,41.2,43.6,C,Pass
669,1.9,38.1,79.1,31.7,36.8,C,Pass
670,2.9,87.2,45.3,61.4,37.9,F,Fail
671,1.7,56.6,71.6,46.6,24.5,B,Pass
672,9.0,91.5,51.6,33.5,45.2,B,Pass
673,0.8,90.8,77.1,80.7,39.0,B,Pass
674,5.2,86.4,35.9,37.8,14.5,F,Fail
675,4.1,85.3,91.2,72.6,26.3,A,Pass
676,9.8,51.3,43.0,49.7,45.5,F,Fail
677,1.1,35.7,49.4,42.1,11.9,F,Fail
678,4.0,58.2,24.6,56.6,48.5,C,Pass
679,9.7,42.1,28.9,86.1,37.2,C,Pass
680,8.7,78.6,61.3,57.4,35.3,A,Pass
681,8.2,54.2,41.4,82.6,20.8,F,Fail
682,2.6,98.3,86.8,38.8,20.0,B,Pass
683,1.7,74.9,21.2,84.1,47.7,C,Pass
684,6.7,87.6,,46.6,21.9,B,Pass
685,9.3,39.3,47.0,77.4,41.0,C,Pass
686,5.6,90.3,21.5,69.6,25.7,F,Fail
687,5.7,94.6,29.9,95.0,15.6,B,Pass
688,2.8,64.1,53.1,57.1,10.4,F,Fail
689,7.7,72.4,59.4,34.6,31.8,F,Fail
690,1.9,83.5,52.3,31.3,49.0,C,Pass
691,3.2,42.2,62.5,87.9,24.8,C,Pass
692,4.3,65.2,67.6,66.7,24.3,B,Pass
693,5.1,57.9,20.8,84.3,23.8,F,Fail
694,2.4,40.2,57.1,46.4,30.8,F,Fail
695,1.1,55.7,97.1,54.2,27.6,B,Pass
696,6.1,34.8,61.5,32.1,45.2,F,Fail
697,2.9,31.8,74.2,97.3,30.2,F,Fail
698,5.8,39.5,44.9,76.8,30.3,F,Fail
699,1.5,97.4,81.9,95.3,15.5,B,Pass
700,4.8,68.5,81.8,48.6,49.3,B,Pass
701,5.3,97.6,61.7,72.8,20.0,B,Pass
702,0.5,60.3,98.1,77.5,12.9,B,Pass
703,3.4,51.8,30.0,52.2,36.5,C,Pass
704,1.3,65.4,21.4,89.4,33.8,B,Pass
705,0.6,60.8,81.6,96.3,26.6,F,Fail
706,9.9,37.4,84.6,91.9,26.9,B,Pass
707,3.2,74.9,29.6,81.7,41.4,F,Fail
708,8.1,45.1,41.2,49.4,17.8,F,Fail
709,2.5,73.4,21.4,49.7,42.8,F,Fail
710,6.8,75.5,43.5,97.4,35.9,B,Pass
711,7.6,40.6,81.9,30.7,26.8,B,Pass
712,6.0,34.3,61.4,80.1,28.3,B,Pass
713,4.7,84.7,47.8,79.4,20.3,B,Pass
714,4.1,62.2,49.7,73.6,40.1,A,Pass
715,3.5,34.1,20.1,99.3,30.5,F,Fail
716,9.3,99.6,44.0,51.8,22.8,C,Pass
717,8.3,34.0,71.7,53.8,33.8,B,Pass
718,9.7,78.7,97.9,35.5,49.8,B,Pass
719,1.2,98.9,87.8,61.0,27.4,A,Pass
720,7.3,46.7,21.9,48.3,46.8,C,Pass
721,9.4,40.0,91.9,54.0,23.8,B,Pass
722,1.8,38.5,82.7,88.4,12.2,F,Fail
723,0.7,51.2,82.4,95.5,18.2,B,Pass
724,7.4,37.1,56.6,43.0,26.7,C,Pass
725,5.7,78.5,51.8,56.1,18.8,F,Fail
726,8.4,34.4,44.2,95.0,10.0,B,Pass
727,1.4,65.7,25.3,34.3,46.6,F,Fail
728,8.0,99.8,38.3,36.5,43.8,B,Pass
729,2.0,87.0,39.7,41.4,39.7,C,Pass
730,1.6,73.1,58.7,71.7,16.7,F,Fail
731,1.6,51.4,79.8,40.5,14.8,C,Pass
732,8.1,73.7,57.9,97.8,12.7,C,Pass
733,6.7,66.9,24.6,61.3,39.0,B,Pass
734,5.2,59.8,96.6,65.1,47.2,B,Pass
735,3.6,39.1,95.4,47.3,27.2,B,Pass
736,8.8,92.1,82.8,63.0,14.8,A,Pass
737,3.9,61.5,99.3,76.3,30.5,B,Pass
738,8.2,43.6,63.6,82.6,24.0,B,Pass
739,4.4,55.7,97.0,82.8,25.0,B,Pass
740,3.8,59.0,,70.5,34.9,F,Fail
741,4.6,87.9,49.3,93.3,38.7,A,Pass
742,3.0,81.4,38.0,87.2,14.4,F,Fail
743,7.5,83.9,35.7,83.0,11.4,F,Fail
744,5.0,30.8,31.3,33.9,49.8,C,Pass
745,2.3,59.1,69.8,30.5,19.3,F,Fail
746,9.0,63.7,82.5,44.9,12.2,C,Pass
747,3.8,31.3,66.3,76.4,17.6,F,Fail
748,5.4,48.2,31.8,58.8,11.6,F,Fail
749,9.1,83.2,84.9,58.2,25.7,B,Pass
750,6.2,39.6,70.9,91.9,42.1,B,Pass
751,1.2,67.5,51.1,92.7,23.6,C,Pass
752,9.4,45.1,73.9,93.6,27.8,B,Pass
753,6.3,30.8,40.8,52.0,37.0,F,Fail
754,3.3,46.9,47.6,78.4,30.4,F,Fail
755,1.4,98.3,93.4,49.0,44.5,B,Pass
756,7.9,86.1,43.2,43.3,44.6,A,Pass
757,6.2,97.2,57.6,42.9,10.4,C,Pass
758,5.3,64.1,91.2,53.9,41.1,B,Pass
759,8.9,37.7,76.6,60.1,28.4,C,Pass
760,7.9,68.4,25.0,88.2,49.6,C,Pass
761,1.5,61.8,31.8,38.4,29.3,F,Fail
762,3.1,89.1,20.6,81.4,49.5,B,Pass
763,2.5,36.9,70.5,67.2,40.2,B,Pass
764,7.4,64.2,55.8,50.2,19.9,C,Pass
765,0.3,40.5,30.7,64.5,31.5,C,Pass
766,5.7,52.7,96.6,51.0,49.7,B,Pass
767,7.6,81.6,62.4,71.7,44.3,A,Pass
768,8.8,63.3,39.4,60.4,13.9,C,Pass
769,3.4,56.3,60.0,41.5,38.3,F,Fail
770,8.2,57.6,74.4,38.2,23.8,B,Pass
771,1.1,62.2,26.1,68.3,10.3,F,Fail
772,8.5,85.0,42.0,93.2,26.1,B,Pass
773,1.3,92.4,84.6,54.1,19.4,B,Pass
774,4.0,96.9,56.8,81.3,42.8,B,Pass
775,8.0,85.1,63.7,76.1,23.5,A,Pass
776,1.5,52.1,54.6,95.2,43.1,B,Pass
777,2.3,78.2,23.5,87.5,10.0,F,Fail
778,7.2,60.6,33.3,69.7,22.3,C,Pass
779,7.2,47.8,55.6,76.0,19.6,B,Pass
780,6.4,88.9,36.7,92.9,19.3,B,Pass
781,6.9,32.7,24.0,58.0,12.7,F,Fail
782,5.4,93.1,87.5,52.9,17.5,B,Pass
783,2.5,62.3,98.5,30.8,32.2,B,Pass
784,3.5,74.6,83.5,87.9,21.7,F,Fail
785,1.8,76.2,88.3,86.1,26.7,B,Pass
786,9.1,92.7,39.4,37.3,25.1,C,Pass
787,5.8,74.6,96.9,70.4,45.0,A,Pass
788,4.0,73.0,35.8,62.5,46.2,C,Pass
789,4.6,34.7,96.1,38.3,29.7,F,Fail
790,9.5,66.3,99.6,98.6,23.2,A,Pass
791,1.5,40.5,76.9,45.0,14.3,F,Fail
792,5.9,81.6,98.5,34.7,48.1,A,Pass
793,5.1,65.9,65.6,71.6,12.4,C,Pass
794,6.1,77.6,40.8,81.7,21.9,B,Pass
795,0.2,32.9,55.0,32.3,21.9,F,Fail
796,8.7,35.9,67.5,76.1,22.8,B,Pass
797,9.3,80.1,25.8,67.3,16.6,F,Fail
798,5.7,35.0,69.8,37.2,41.3,B,Pass
799,7.0,35.0,98.5,42.1,14.9,B,Pass
800,9.2,30.8,35.2,69.8,35.4,B,Pass
801,7.1,97.0,83.4,50.7,15.0,B,Pass
802,1.5,81.6,92.6,95.7,12.8,B,Pass
803,5.8,54.7,95.5,87.3,46.4,A,Pass
804,6.1,50.8,96.8,98.8,17.6,B,Pass
805,4.2,54.5,61.7,48.2,42.9,B,Pass
806,7.4,84.2,98.2,97.9,31.8,B,Pass
807,9.3,76.3,80.6,60.2,13.1,B,Pass
808,9.3,43.0,32.9,54.3,48.2,B,Pass
809,4.5,42.2,58.2,33.5,19.9,C,Pass
810,1.1,36.9,77.5,33.7,44.4,C,Pass
811,9.8,76.2,39.8,78.4,16.8,C,Pass
812,8.4,83.5,71.2,62.1,44.2,B,Pass
813,1.2,48.6,73.3,45.9,10.5,F,Fail
814,9.2,31.5,33.0,73.0,30.5,C,Pass
815,8.7,35.8,65.2,47.7,40.8,C,Pass
816,5.2,97.8,81.7,70.4,47.4,A,Pass
817,5.9,50.7,59.9,55.1,46.4,C,Pass
818,4.0,83.8,21.0,87.6,42.8,B,Pass
819,0.5,73.7,20.7,87.4,45.5,F,Fail
820,3.4,56.7,48.6,63.4,18.0,C,Pass
821,8.0,44.4,94.1,54.6,21.4,B,Pass
822,0.0,38.5,38.3,55.4,21.6,F,Fail
823,3.3,73.1,70.7,86.4,25.1,C,Pass
824,4.0,84.2,37.8,53.0,25.7,C,Pass
825,5.4,75.1,45.7,44.6,31.8,F,Fail
826,9.2,67.1,87.8,35.9,16.4,B,Pass
827,3.5,32.9,78.3,62.7,37.6,B,Pass
828,3.5,97.8,27.6,63.7,16.7,C,Pass
829,,85.9,54.3,88.9,22.4,B,Pass
830,4.5,50.5,22.3,45.5,30.1,F,Fail
831,2.2,98.6,58.5,56.7,41.9,B,Pass
832,4.5,72.1,73.0,86.6,39.6,B,Pass
833,1.4,70.8,29.5,87.7,35.8,F,Fail
834,1.8,82.4,43.1,56.9,16.2,C,Pass
835,5.0,86.8,51.8,62.1,31.9,B,Pass
836,4.2,76.0,93.6,51.2,13.5,B,Pass
837,9.1,39.0,99.5,95.3,25.1,B,Pass
838,3.6,53.7,23.6,38.3,26.5,F,Fail
839,5.8,95.0,80.9,95.4,11.6,B,Pass
840,6.3,45.7,49.7,77.9,21.0,C,Pass
841,0.1,56.1,51.4,67.2,48.2,F,Fail
842,6.6,60.2,80.3,32.3,48.1,B,Pass
843,1.8,60.8,93.5,63.3,24.1,A,Pass
844,9.6,72.9,96.1,58.5,11.7,B,Pass
845,1.5,96.0,66.2,41.3,17.2,B,Pass
846,4.1,46.8,48.6,75.9,25.7,F,Fail
847,0.9,38.5,83.0,98.0,47.9,F,Fail
848,10.0,43.8,40.1,69.4,15.6,C,Pass
849,5.0,92.1,65.1,80.0,40.5,B,Pass
850,6.0,75.2,48.7,34.8,14.3,F,Fail
851,0.7,50.0,72.5,59.2,49.3,C,Pass
852,7.5,87.1,39.2,38.1,25.3,B,Pass
853,2.1,90.3,35.3,72.9,41.0,C,Pass
854,9.0,89.3,93.5,95.7,23.7,B,Pass
855,2.1,94.3,28.1,76.3,35.1,C,Pass
856,1.9,47.7,60.5,35.4,17.7,F,Fail
857,0.4,82.9,37.7,54.8,15.8,F,Fail
858,4.7,62.2,23.1,68.5,47.5,B,Pass
859,5.6,88.9,22.9,58.2,46.7,B,Pass
860,0.7,81.0,34.0,88.4,45.5,C,Pass
861,7.8,84.4,89.3,87.0,35.0,B,Pass
862,4.5,75.9,42.6,72.8,42.3,C,Pass
863,5.2,42.4,96.0,56.1,12.8,C,Pass
864,4.4,68.2,66.5,47.9,23.4,F,Fail
865,4.0,98.9,54.9,37.4,22.5,F,Fail
866,5.6,95.6,66.4,54.8,35.4,B,Pass
867,1.6,33.0,61.3,58.9,24.2,C,Pass
868,1.8,41.5,80.7,77.3,15.9,F,Fail
869,8.6,39.2,42.6,76.1,33.9,B,Pass
870,9.5,80.8,48.2,34.9,42.6,C,Pass
871,3.7,87.2,91.5,57.7,25.3,B,Pass
872,2.7,44.9,95.7,42.7,15.3,F,Fail
873,6.4,65.4,91.4,41.0,17.9,B,Pass
874,4.1,88.8,53.6,87.9,19.5,C,Pass
875,0.3,81.3,82.4,32.9,22.0,B,Pass
876,1.6,68.0,58.1,59.3,35.7,F,Fail
877,7.2,71.3,59.8,41.8,34.0,B,Pass
878,6.6,65.6,36.4,91.6,37.8,C,Pass
879,0.3,50.8,67.3,69.0,24.5,F,Fail
880,2.2,69.6,34.9,46.2,43.0,F,Fail
881,2.3,78.2,46.5,65.2,18.2,F,Fail
882,6.7,91.1,88.4,81.2,28.8,B,Pass
883,0.2,74.5,36.6,97.1,42.0,C,Pass
884,1.0,83.3,25.7,45.4,17.2,F,Fail
885,8.0,41.2,25.5,92.0,14.4,F,Fail
886,1.8,62.3,95.3,95.4,45.3,A,Pass
887,6.5,30.7,60.6,94.1,23.7,B,Pass
888,2.4,47.3,52.8,74.5,37.4,F,Fail
889,1.0,80.9,84.9,74.1,11.0,B,Pass
890,2.4,99.4,86.9,58.2,37.6,C,Pass
891,7.2,36.9,46.6,82.7,22.6,C,Pass
892,8.6,58.1,75.5,67.2,12.2,B,Pass
893,8.3,86.0,81.7,77.4,34.4,B,Pass
894,4.0,44.3,72.4,60.0,19.6,C,Pass
895,6.7,68.9,32.1,81.2,25.5,C,Pass
896,2.0,81.3,90.1,87.7,13.2,C,Pass
897,2.9,73.1,63.1,40.3,15.9,B,Pass
898,9.0,43.2,42.6,88.3,21.9,C,Pass
899,0.1,54.9,54.0,67.8,13.6,F,Fail
900,0.9,84.9,23.0,89.1,46.4,C,Pass
901,2.1,68.8,30.2,60.2,10.2,F,Fail
902,0.3,30.4,81.2,56.5,29.4,F,Fail
903,1.8,83.3,20.0,94.1,14.9,C,Pass
904,5.8,32.5,53.3,47.6,22.3,C,Pass
905,4.2,82.2,61.8,89.1,47.0,F,Fail
906,8.9,44.2,24.4,63.9,16.5,F,Fail
907,8.2,97.1,97.8,66.0,48.6,A,Pass
908,3.4,55.8,38.1,51.6,18.2,F,Fail
909,2.6,52.9,44.3,70.1,39.7,F,Fail
910,3.8,40.4,44.3,52.8,31.9,B,Pass
911,5.9,51.4,38.4,32.7,45.4,B,Pass
912,2.7,91.4,20.1,49.0,32.2,F,Fail
913,6.2,99.7,78.3,30.4,31.4,A,Pass
914,4.1,55.8,97.3,98.5,17.8,A,Pass
915,5.5,61.4,37.9,97.6,16.6,C,Pass
916,4.4,80.5,73.0,57.7,46.7,A,Pass
917,2.9,92.0,79.4,81.0,23.1,B,Pass
918,9.5,71.5,87.9,54.2,24.9,B,Pass
919,7.6,57.4,53.8,77.0,40.4,B,Pass
920,1.4,58.9,44.2,86.4,23.6,F,Fail
921,8.7,78.7,46.0,96.3,48.1,B,Pass
922,4.9,30.2,77.0,58.0,39.5,F,Fail
923,8.9,73.4,85.3,84.8,33.9,B,Pass
924,8.0,54.9,34.5,48.6,45.2,F,Fail
925,4.3,85.6,49.7,99.3,12.0,C,Pass
926,0.2,36.5,92.2,31.8,20.3,F,Fail
927,2.7,71.2,84.5,72.2,28.6,B,Pass
928,5.4,63.7,98.8,76.2,19.1,B,Pass
929,6.3,75.0,80.3,78.2,39.8,A,Pass
930,2.6,34.5,51.5,38.4,46.8,B,Pass
931,1.4,70.6,67.3,95.7,27.0,F,Fail
932,8.3,69.3,72.9,42.7,23.7,B,Pass
933,9.8,69.2,26.3,73.6,48.5,B,Pass
934,5.3,72.2,63.6,45.6,27.8,F,Fail
935,1.7,77.4,76.7,51.5,29.6,F,Fail
936,2.7,86.3,33.4,68.3,24.1,C,Pass
937,0.2,48.9,82.5,59.2,46.4,C,Pass
938,9.1,87.8,66.7,41.2,32.8,A,Pass
939,1.2,64.9,96.2,42.0,40.5,B,Pass
940,5.8,35.4,23.4,59.3,42.5,B,Pass
941,2.7,34.1,41.2,83.0,23.7,F,Fail
942,5.5,53.4,68.1,92.9,27.3,B,Pass
943,6.5,84.9,43.7,35.9,43.9,B,Pass
944,8.3,79.5,77.2,57.5,24.5,B,Pass
945,2.1,85.2,80.7,37.0,41.8,C,Pass
946,0.1,66.2,28.2,31.2,47.6,B,Pass
947,1.4,60.8,61.1,76.3,34.9,C,Pass
948,9.0,40.3,60.7,72.2,39.7,B,Pass
949,8.7,53.0,49.5,41.4,42.2,C,Pass
950,6.0,60.4,94.6,46.4,43.8,B,Pass
951,6.0,36.2,86.2,31.7,25.8,C,Pass
952,6.7,45.4,75.8,88.4,12.1,C,Pass
953,1.8,71.9,77.1,98.2,26.1,C,Pass
954,9.1,81.5,56.9,39.5,37.0,B,Pass
955,4.2,99.9,93.7,46.2,28.0,C,Pass
956,3.8,95.3,75.6,90.8,40.0,B,Pass
957,5.2,75.0,78.3,94.9,24.3,B,Pass
958,0.5,59.5,88.9,59.4,35.4,B,Pass
959,1.7,74.5,41.9,33.5,17.5,F,Fail
960,7.4,85.0,84.6,32.8,40.0,B,Pass
961,0.8,38.3,35.6,70.2,31.8,F,Fail
962,6.0,58.7,47.6,57.5,18.2,F,Fail
963,2.5,88.8,,32.0,21.7,C,Pass
964,3.9,56.9,98.3,70.8,39.9,A,Pass
965,2.9,70.0,88.5,30.8,29.3,C,Pass
966,3.6,71.1,76.1,85.1,18.6,F,Fail
967,7.2,42.9,78.2,51.5,48.7,B,Pass
968,3.0,55.4,65.0,32.8,38.6,F,Fail
969,5.7,53.4,95.8,71.2,48.3,B,Pass
970,4.8,31.8,59.7,57.8,27.1,B,Pass
971,6.6,31.7,50.4,98.2,29.0,B,Pass
972,9.4,88.2,33.0,68.1,45.9,B,Pass
973,7.3,49.1,82.9,49.3,31.0,C,Pass
974,2.1,66.3,78.8,79.7,38.3,B,Pass
975,0.3,50.9,50.7,49.0,20.1,F,Fail
976,2.6,95.8,22.0,93.3,27.9,F,Fail
977,6.0,48.2,87.1,56.2,14.9,B,Pass
978,0.5,60.1,20.9,68.5,18.2,F,Fail
979,5.0,91.1,76.3,33.5,10.0,B,Pass
980,6.0,88.9,97.6,59.8,11.6,B,Pass
981,3.3,43.0,55.0,88.3,49.1,B,Pass
982,7.7,86.2,38.8,86.4,19.7,B,Pass
983,1.1,62.1,76.4,45.7,36.5,B,Pass
984,0.8,63.8,85.4,45.8,43.6,C,Pass
985,7.3,39.3,63.7,87.2,32.0,C,Pass
986,5.0,35.6,97.4,95.1,16.1,B,Pass
987,6.9,81.0,24.1,36.7,39.1,F,Fail
988,4.3,64.8,60.4,61.5,34.0,C,Pass
989,2.5,60.6,77.5,53.6,39.3,B,Pass
990,8.2,81.1,89.0,90.9,40.8,B,Pass
991,8.0,83.6,34.3,35.8,49.0,A,Pass
992,6.9,41.1,84.0,44.8,32.9,B,Pass
993,2.7,72.7,64.2,82.7,23.7,C,Pass
994,5.9,39.5,51.7,33.6,35.9,C,Pass
995,3.6,82.6,30.5,64.5,12.7,F,Fail
996,0.9,76.0,89.2,60.9,45.9,A,Pass
